git status, show modified files in working directory, staged for your next commit
git add [file], add a file as it looks now to your next commit
git reset [file], unstage a file while retaining the changes in working directory
git diff, diff of what is changed but not staged
git diff --staged, diff of what is staged but not yet committed
git commit -m “[message]”, commit your staged content as a new commit snapshot
git init, initialize an existing directory as a Git repository
git clone [url], retrieve an entire repository from a hosted location via URL
git branch, list your branches. a * will appear next to the currently active branch
git branch [branch-name], create a new branch at the current commit
git checkout, switch to another branch and check it out into your working directory
git merge [branch], merge the specified branch’s history into the current one
git log, show all commits in the current branch’s history
git rm [file], delete file from project and stage the removal for commit
git pull, fetch and merge and commits from the tracking remote branch
git mv [existing-path] [new-path], change and existing file path and stage the move
git show, shows git commit history
git push --set-upstream origin [branch], sets a new branch as the "upstream" or default push location